date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
11/30/2022,"DB Pull overs","4x10",25,"25","Load","","[{""success"":true,""load"":25},{""success"":true,""load"":25},{""success"":true,""load"":25}]","",RX,
11/30/2022,"DEADLIFTS","DEADLIFTS3-3-3-3-3-3-3",175,"175","Load","Deadlift","[{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":175}]","",RX,
11/30/2022,"Jerk Dip + 10 sec Rack Hold","3x (3+10 sec) @ 110% of Clean and Jerk",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
11/30/2022,"Clean Pulls","3x5 @ 95%",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
11/30/2022,"TABATA","Tabata Sit-ups8 rounds:20 work / :10 rest",68,"68","Reps","","[{""reps"":68}]","",RX,
12/01/2022,"FOR TIME","For time:10-20-30-40-50:Single DB lunges (35/50 lb)Double-undersSit-upsRx (35/50)55+ (20/35)",998,"16:38","","","[{""secs"":38,""mins"":16}]","25# DBSingle unders",SCALED,
12/02/2022,"FOR TIME","For time:25 box jump overs800-m run25 burpee box oversRx (24/30)55+ (20/24)",435,"7:15","","","[{""secs"":15,""mins"":7}]","",RX,
12/03/2022,"30:00 AMRAP","AMRAP 30 with a partner:10 wall-ball shots6 handstand push-ups2 squat cleansRx (14/20 & 155/225)55+ (10/14 & 105/155)",19.016,"19+16","Rounds + Reps","","[{""rnds"":19,""reps"":16}]","Box pike push-ups115#",SCALED,
12/05/2022,"Plank","3 x 1 Minute Plank Reach Out- Alternate every 5 seconds",0,"0","Load","","[{""success"":true,""load"":0}]","",RX,
12/05/2022,"Tempo Snatch","3 seconds from ground to above the knee, then resume full speed and complete liftWork to a heavy double (1 set of a heavy double) thats it.",95,"95","Load","","[{""success"":true,""load"":95}]","",RX,
12/05/2022,"Snatch High Pull + Snatch from P1 + Snatch from P2","3x (1+1+1) @75%3 Sets",95,"95","Load","","[{""success"":true,""load"":65},{""success"":true,""load"":85},{""success"":true,""load"":95}]","",RX,
12/05/2022,"Front Squat","3x5 @90% of Clean",125,"125","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":125},{""success"":true,""load"":125}]","",RX,
12/05/2022,"20:00 AMRAP","AMRAP 20:0015 toes-to-bars10 DB power cleans 400/500m rowRx (35/50)55+ (25/40)",4.008,"4+8","Rounds + Reps","","[{""rnds"":4,""reps"":8}]","35# DB",SCALED,
12/06/2022,"HANG POWER CLEANS","Hang Power CleansEvery 1:30 for 6 sets7-7-7-7-7-7- Cycle the bar as quickly as possible.",115,"115","Load","Hang Power Clean","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
12/06/2022,"FOR TIME","For time:30-20-10:Lateral burpees over barFront squats Rx (65/95)55+ (45/65)",745,"12:25","","","[{""secs"":25,""mins"":12}]","65#",SCALED,
12/07/2022,"Tall Clean","3x3 Ascending in weight each week",125,"125","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125}]","",RX,
12/07/2022,"DB Pull overs","4x10",25,"25","Load","","[{""success"":true,""load"":25},{""success"":true,""load"":25},{""success"":true,""load"":25}]","",RX,
12/07/2022,"PARTNER ROWING","You go/I go for 12 total rounds (6 rounds each)400/500-m row",1493,"24:53","","","[{""secs"":53,""mins"":24}]","",RX,
12/07/2022,"Jerk Dip + 10 sec Rack Hold","3x (3+10 sec) @ 115% of Clean and Jerk",175,"175","Load","","[{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175}]","",RX,
12/07/2022,"Clean","Work to a Heavy Set of 2, then 1x2 at 10% less",135,"135","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":135}]","",RX,
12/07/2022,"Clean Pulls","3x5 @ 100% of Clean",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
12/08/2022,"1:00 AMRAP","AMRAP 1:00Max-rep squat snatches- Use 80% heaviest successful 3-rep snatch.",8,"8","Reps","","[{""reps"":8}]","",RX,
12/08/2022,"SNATCH","Snatch (full squat)3-3-3-3-3-3-3",75,"75","Load","Snatch","[{""success"":true,""load"":55},{""success"":true,""load"":55},{""success"":true,""load"":55},{""success"":true,""load"":65},{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":75}]","",RX,
12/09/2022,"2 Cleans + 1 Split Jerk","Work to a heavy set of (2+1)1x1 (2 Cleans + 1 Split Jerk)",155,"155","Load","","[{""success"":true,""load"":155}]","",RX,
12/09/2022,"Snatch","1x1 @ 85%1x1 @ 88%1x1 @ 91%If you hit all 3 with no misses then go up",125,"125","Load","","[{""success"":true,""load"":115},{""success"":false,""load"":125},{""success"":true,""load"":125}]","",RX,
12/09/2022,"FIGHT GONE BAD","3 rounds for reps:1:00 wall-ball shot (14/20 lb)(9/10 ft)1:00 push press (55/75 lb)1:00 box jump (20 in)1:00 sumo deadlift high pull (55/75 lb)1:00 row for calories- Rest 1:00 between rounds.",202,"202","Reps","","[{""reps"":202}]","845860",RX,PR
12/09/2022,"Double KB OH Carry","3 sets-  Rig to the roll up doors and back is 1 set",25,"25","Load","","[{""success"":true,""load"":25},{""success"":true,""load"":25},{""success"":true,""load"":25}]","",RX,
12/09/2022,"Tempo Front Squat","3x3 @ 88% of Clean3 Seconds Down - 1 second pause at the bottom and explode back up",135,"135","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135}]","",RX,
12/12/2022,"Tempo Snatch","3 seconds from ground to above the knee, then resume full speed and complete liftWork to a heavy single",115,"115","Load","","[{""success"":true,""load"":115}]","",RX,
12/12/2022,"Plank","3 x 1 Minute Plank Reach Out- Alternate every 5 seconds",0,"0","Load","","[{""success"":true,""load"":0}]","",RX,
12/12/2022,"Snatch High Pull + Snatch from P1 + Snatch from P2","Work to a heavy set",105,"105","Load","","[{""success"":true,""load"":105}]","",RX,
12/12/2022,"Front Squat","3x5 @ 80% of Clean",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
12/12/2022,"3 ROUNDS","3 rounds for time:9 wall walks200-m KB farmers carry Rx (53/70)55+ (35/53)",1074,"17:54","","","[{""secs"":54,""mins"":17}]","44#",SCALED,
12/13/2022,"CLEANS & CLIMBS","For load:12 squat cleans1 legless rope climb10 squat cleans1 legless rope climb8 squat cleans1 legless rope climb6 squat cleans1 legless rope climb4 squat cleans- Increase loading across each set of squat cleans.",125,"125","Load","","[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125}]","Should’ve gone to 135; not bad for morning after a double day",RX,
12/14/2022,"PUSH-UP/ROW","Accumulate 50 DB push-up + renegade rows- One rep = 1 push-up + 1 renegade row.",0,"50","Other / Text","","[{""other"":""50""}]","Only took 14 minutes 🪦",RX,
12/14/2022,"Jerk Dip + 10 sec Rack Hold","3x (3+10 sec) @ 115% of Clean and Jerk",155,"155","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
12/14/2022,"Clean","Work to a Heavy Set of 1, then 1x2 at 10% less",155,"155","Load","","[{""success"":true,""load"":165},{""success"":true,""load"":155}]","",RX,
12/14/2022,"10:00 AMRAP","AMRAP 10:0012 DB box step-ups 12 DB deadlifts 100m runRx (25/35 & 20)55+ (15/25 & 16)",4.009,"4+9","Rounds + Reps","","[{""rnds"":4,""reps"":9}]","",RX,
12/14/2022,"DB Pull overs","4x10",25,"25","Load","","[{""success"":true,""load"":25},{""success"":true,""load"":25},{""success"":true,""load"":25}]","",RX,
12/14/2022,"Clean Pulls","3x5 @ 105% of Clean",175,"175","Load","","[{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175}]","",RX,
12/14/2022,"Tall Clean","3x3 Ascending in weight each week",135,"135","Load","","[{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":135}]","",RX,
12/15/2022,"DB OVERHEAD CARRY","5 rounds for load with a partner:100-ft single-arm UNBROKEN DB overhead carry each arm- Each partner completes 5 rounds of 200 ft.- One partner works while the other rests.",40,"40","Load","","[{""success"":true,""load"":40}]","",RX,
12/15/2022,"FOR TIME","For time:21-18-15-12-9 reps: V-upsPull-upsShuttle runs- 1 shuttle run = 25 ft/8-m.",679,"11:19","","","[{""secs"":19,""mins"":11}]","Sit-ups instead of v-upsRing rows instead of pull-ups",SCALED,
12/16/2022,"Clean & Jerk 1x1","Clean & Jerk for load: #1:  1 rep ",165,"165","Load","Clean & Jerk","[{""success"":true,""load"":165}]","",RX,
12/16/2022,"Clean 1x1","Clean for load: #1:  1 rep ",170,"170","Load","Clean","[{""success"":true,""load"":170}]","",RX,
12/16/2022,"Double KB OH Carry","3 sets-  Rig to the roll up doors and back is 1 set",35,"35","Load","","[{""success"":true,""load"":25},{""success"":true,""load"":35},{""success"":true,""load"":35}]","",RX,
12/16/2022,"5x5 BACK SQUAT","Back Squat5-5-5-5-5",165,"165","Load","Back Squat","[{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":165}]","",RX,
12/16/2022,"Snatch","1x1 @ 88-89%1x1 @ 91-92%1x1 @ 95%If you hit all 3 with no misses then go up",115,"115","Load","","[{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":false,""load"":125}]","",RX,
12/16/2022,"Clean & Jerk","Work to a heavy C&J",165,"165","Load","","[{""success"":true,""load"":165}]","170# hit clean, missed jerk",RX,
12/17/2022,"20:00 PARTNER AMRAP","AMRAP 20:00 with a partner:Partner 1: 250/300-m rowPartner 2: 12 hang power snatchesRx (75/115)55+ (65/95)- Partners rotate after the row and snatches are completed.- Partners perform 5 synchronized bar-facing burpees before rotating.",7.009,"7+9","Rounds + Reps","","[{""rnds"":7,""reps"":9}]","85#",SCALED,
12/19/2022,"OH Squats!","5x3",125,"125","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125}]","12/26",RX,
12/19/2022,"Snatch Complex","Hang Snatch + Snatch5x (1+1)",105,"105","Load","","[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105}]","12/26",RX,
12/19/2022,"Clean Complex","1 Clean3 Front Squats1 Split JerkGoal is hit 75% or more",135,"135","Load","","[{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":135}]","12/26",RX,
12/19/2022,"FOR TIME","For time:150-ft DB walking lunges50 alternating DB hang snatches150-ft DB walking lunges50 single-arm DB hang power cleans150-ft DB walking lunges50 lateral hops over DB150-ft DB walking lunges50 single-arm DB deadlift- Use a single DB for all weighted movements.Rx (35/50)55+ (25/40)",1250,"20:50","","","[{""secs"":50,""mins"":20}]","35#",SCALED,
12/20/2022,"PARTNER FOR TIME","For time with a partner:150 hand-release push-ups120 front squats -Front squats can be from a rackRx (105/155 lb)55+ (75/115)",1239,"20:39","","","[{""secs"":39,""mins"":20}]","95#",SCALED,
12/21/2022,"Snatch 1x1","Snatch for load: #1:  1 rep ",125,"125","Load","Snatch","[{""success"":true,""load"":125}]","",RX,
12/21/2022,"FOR TIME","For time:15 DB burpee box overs (35/50 lb) (20/24 in)15 deadlifts (205/315 lb)15 overhead squats (135/205 lbs)15 ring muscle-ups- Use two DBs for the DB burpee box overs",992,"16:32","","","[{""secs"":32,""mins"":16}]","35# 24”205#115#Jumping ring muscle-ups",SCALED,
12/21/2022,"Power Clean + Hang Clean + Clean","4x(1+1+1) at 75%",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
12/21/2022,"Power Snatch + 3 OH Squats","4x(1+3) at 75%",95,"95","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]","",RX,
12/21/2022,"Thrusters","Find a Heavy 1RM",145,"145","Load","","[{""success"":true,""load"":145}]","Disgusting form",RX,
12/22/2022,"TABATA","Tabata Sit-ups8 rounds:20 work / :10 rest",72,"72","Reps","","[{""reps"":72}]","",RX,
12/22/2022,"5 x 2:00","5 x 2:00 rounds for reps:18/25 calorie rowMax double-unders- Rest 2:00 between sets.",390,"390","Reps","","[{""reps"":390}]","Single-unders",SCALED,
12/23/2022,"Snatch","4x2 @ 80%",105,"105","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":105}]","12/30",RX,
12/23/2022,"RANDY","For time:75 power snatch Rx (55/75 lb)",570,"9:30","","","[{""secs"":30,""mins"":9}]","",RX,
12/23/2022,"Front Squats","5x4",135,"135","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135}]","12/30",RX,
12/23/2022,"POWER SNATCH","EMOM 8:001 power snatch- Build to a heavy single.",115,"115","Load","","[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":false,""load"":115},{""success"":true,""load"":115},{""success"":false,""load"":125},{""success"":false,""load"":125}]","",RX,
12/23/2022,"2 Cleans + Split Jerk","5x (2+1) Find Heavy for the day",155,"155","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155}]","12/30",RX,
12/24/2022,"SWOLY NIGHT","FOR TIME WITH A PARTNER50 Burpees40 Goblet Squats30 Push-ups20 Plate Ground to Overhead10 Wall Walks20 Plate Ground to Overhead30 Push-ups40 Goblet Squats50 BurpeesRx (35/50 & 25/45)55+ (25/40 & 15/35)",778,"12:58","","","[{""secs"":58,""mins"":12}]","35#25#",SCALED,
12/26/2022,"2 ROUNDS","2 rounds for time: 50 alternating DB snatches (35/50 lb)50 wall-ball shots (14/20 lb)(9/10 ft)",790,"13:10","","","[{""secs"":10,""mins"":13}]","35#14#",SCALED,
12/27/2022,"FOR TIME","For time: 30-25-20-15-10:Toes-to-bar100-80-60-40-20:Double-unders",990,"16:30","","","[{""secs"":30,""mins"":16}]","DragonfliesDU 2-2-1-1-1",SCALED,
12/28/2022,"8:00 AMRAP","AMRAP 8:00 2 wall walks 2 deadlifts Rx (205/315)55+ (155/225)",8,"8","Rounds + Reps","","[{""rnds"":8}]","225#",SCALED,
12/28/2022,"DEADLIFT","EMOM 8:001 deadlift",285,"285","Load","","[{""success"":true,""load"":285}]","",RX,
12/29/2022,"Rowing Intervals","10 Rounds:Pull a sub 1:25/500-m pace for as long as possible3:00 Rest",36,"0:36","","","[{""secs"":55,""mins"":0},{""secs"":46},{""secs"":36},{""secs"":38},{""secs"":39},{""secs"":43},{""secs"":39},{""secs"":38,""mins"":0},{""secs"":37},{""secs"":39,""mins"":0}]","1:37 🪦",SCALED,
12/30/2022,"DOUBLE UNDERS MAX SET UNBROKEN","Double-Unders: Max Reps Unbroken",17,"17","Reps","","[{""reps"":17}]","",RX,
12/30/2022,"DOUBLE UNDERS: 2 MIN TEST","Max reps of double-unders in 2 minutes.",52,"52","Reps","","[{""reps"":52}]","",RX,
12/30/2022,"BACK RACK REVERSE LUNGES","Back Rack Reverse Lunges6-6-6-6-6-6-6",120,"120","Load","Back Rack Lunges","[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":100},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":120}]","",RX,
12/31/2022,"20:00 AMRAP","AMRAP 20:00 with a partner:23 box jump overs (20/24 in)23 power snatches (65/95 lb)23 overhead squats (65/95 lb)23 knees-to-elbows23 air bike calories",2.114,"2+114","Rounds + Reps","","[{""rnds"":2,""reps"":114}]","24”65#Push press instead of overhead squat",SCALED,
01/02/2023,"Hang Power Clean 4x2","Hang Power Clean for load: #1:  2 reps #2:  2 reps #3:  2 reps #4:  2 reps",115,"115","Load","Hang Power Clean","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
01/02/2023,"Hang Power Clean (At Knee)","4x2 @67%",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
01/02/2023,"10:00 AMRAP","AMRAP 10:0010 air squats9 DB snatches, right arm 10 push-ups9 DB snatches, left armRx (35/50)55+ (20/35)",5.01,"5+10","Rounds + Reps","","[{""rnds"":5,""reps"":10}]","",RX,
01/02/2023,"DUMBBELL WORK","4 sets:10 single-DB bent over rows/arm10 single-DB glute bridges",0,"50","Other / Text","","[{""other"":""50""}]","",RX,
01/02/2023,"Snatch High Pull + Low Hang Snatch (Below Knee)","5x(1+1) @ 76%",95,"95","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]","",RX,
01/02/2023,"Pause Front Squat","1 second pause on the first rep only3x3@ 85% of Clean",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]","",RX,
01/03/2023,"FOR TIME","For time:45 chest-to-bar pull-ups30 shoulder-to-overheadsRx (125/185)",537,"8:57","","","[{""secs"":57,""mins"":8}]","35 chest-to-bar95#",SCALED,
01/03/2023,"PUSH JERK","Push Jerk for load:3-3-3-3-3",135,"135","Load","Push Jerk","[{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":135}]","",RX,
01/04/2023,"NANCY","5 rounds for time:• 400m run• 15 Overhead squatsRx (65/95)",884,"14:44","","","[{""secs"":44,""mins"":14}]","65#",SCALED,
01/05/2023,"TABATA","Tabata Double Under",281,"281","Reps","","[{""reps"":281}]","Single-unders",SCALED,
01/05/2023,"6 PARTNER ROUNDS","6 partner rounds for time:20 burpee box jump oversSlow rowRx (24/30)55+ (20/24)",765,"12:45","","","[{""secs"":45,""mins"":12}]","Partnered with Justin",RX,
01/06/2023,"Clean 1x1","Clean for load: #1:  1 rep ",175,"175","Load","Clean","[{""success"":true,""load"":175}]","",RX,
01/06/2023,"Clean & Jerk 1x1","Clean & Jerk for load: #1:  1 rep ",175,"175","Load","Clean & Jerk","[{""success"":true,""load"":175}]","",RX,
01/06/2023,"SQUAT CLEAN","Squat Clean:1-1-1-1-1-1-1",175,"175","Load","Squat Clean","[{""success"":true,""load"":135},{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":160},{""success"":true,""load"":165},{""success"":true,""load"":170},{""success"":true,""load"":175}]","",RX,
01/09/2023,"HANG POWER CLEAN","Hang Power Clean2-2-2-2-2-2",145,"145","Load","Hang Power Clean","[{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":145}]","",RX,
01/09/2023,"4 ROUNDS","4 ROUNDS12 Air squats12 Push-ups12 Sit-ups12 Burpees",496,"8:16","","","[{""secs"":16,""mins"":8}]","",RX,
01/09/2023,"Hang Power Clean (At Knee)","4x2 @72%",125,"125","Load","","[{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]","",RX,
01/09/2023,"Snatch High Pull + Low Hang Snatch (Below Knee)","4x(1+1) @ 81%",105,"105","Load","","[{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105}]","",RX,
01/09/2023,"Pause Front Squat","1 second pause on the first rep only3x3@ 89% of Clean",125,"125","Load","","[{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]","3x5 no pause; sore left knee",RX,
01/09/2023,"3 Supersets of","10 DB Row/Arm15-30 seconds Plank",50,"50","Load","","[{""success"":true,""load"":50},{""success"":true,""load"":50},{""success"":true,""load"":50}]","50#30 seconds",RX,
01/10/2023,"7 PARTNER ROUNDS","7 partner rounds for time:Partner A: 200/250-m rowPartner B: 20 Russian KB swings Rx (53/70)55+ (35/53)",1085,"18:05","","","[{""secs"":5,""mins"":18}]","53#",SCALED,
01/11/2023,"FOR TIME","21-15-9DeadliftsPull-ups-200m run after each roundRx (95/135)55+ (75/115)",545,"9:05","","","[{""secs"":5,""mins"":9}]","Kipping pull-ups",RX,
01/12/2023,"TABATA","Hollow Rocks",68,"68","Reps","","[{""reps"":68}]","",SCALED,
01/12/2023,"BACK SQUAT","Back Squat for load:4-4-4-4",205,"205","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":175},{""success"":true,""load"":205}]","",RX,PR
01/13/2023,"CROSSFIT OPEN 17.5","10 rounds for time:9 thrusters35 double-undersRx (65/95)",743,"12:23","","","[{""secs"":23,""mins"":12}]","65#Single-unders",SCALED,PR
01/16/2023,"FRAN","21-15-9 reps for time of:• Thruster 95/65#• Pull-ups",456,"7:36","","","[{""secs"":36,""mins"":7}]","65#Kipping pull-ups",SCALED,
01/17/2023,"8:00 AMRAP","AMRAP 8:002 alternating single-leg squats2 box jump-overs4 alternating single-leg squats4 box jump-overs6 alternating single-leg squats6 box jump-overs- Continue adding 2 reps to each movement until time expires.Rx (20)55+ (16)",150,"150","Reps","","[{""reps"":150}]","Narrow stance squats",SCALED,
01/17/2023,"BOX JUMP","On an 6:00 clock:Build to a max height box jump",46,"46","Inches","","[{""inches"":46}]","",RX,
01/18/2023,"Power Snatch Doubles ( Blocks at Knee)","3x2 @75%",95,"95","Load","","[{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]","",RX,
01/18/2023,"10:00 AMRAP","AMRAP 10:001-2-3-4-5... etc.Power clean Deficit handstand push-upRx (95/135 & 2/4 inch)",9.001,"9+1","Rounds + Reps","","[{""rnds"":9,""reps"":1}]","135#4” deficit push-ups",SCALED,
01/18/2023,"Clean Pull + Clean + Split Jerk w/pause in split","3x(1+1+1) @82%",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
01/18/2023,"Back Squat","3 sec pause on the 1st rep5x3@ 80%",175,"175","Load","","[{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175},{""success"":true,""load"":175}]","",RX,
01/18/2023,"HANDSTAND WALK","6 sets:1:00 max distance handstand walk or max rep wall walks- Rest 1:00",0,"0","Feet","","[{""feet"":0}]","25 wall walks",SCALED,
01/19/2023,"CROSSFIT GAMES OPEN 18.2","On a 12:00 clock:For time:1-2-3-4-5-6-7-8-9-10 reps for time of: Dumbbell squatsBar-facing burpeesRx (35/50)",595,"9:55","","","[{""secs"":55,""mins"":9}]","",RX,PR
01/19/2023,"CROSSFIT GAMES OPEN 18.2a","To be completed in the 12 minute time-cap of Open 18.2:•1-rep-max clean",165,"165","Load","","[{""success"":true,""load"":165}]","",RX,PR
01/20/2023,"Snatch","Work to a Heavy Single,THEN1x1 @ 90% of Heavy Single",115,"115","Load","","[{""success"":true,""load"":115},{""success"":true,""load"":105}]","",RX,
01/20/2023,"FOR TIME","For time:21-15-9-15-21:DeadliftsToes-to-barRx (155/225)55+ (105/155)",774,"12:54","","","[{""secs"":54,""mins"":12}]","155#V-ups",SCALED,
01/20/2023,"C&J","1x1 @87%1x1 @92%1x1 @82%",165,"165","Load","","[{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":145}]","",RX,
01/20/2023,"Front Squat","3x2 @ 80% of Clean",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
01/23/2023,"5x3 BENCH PRESS","Bench Press for load:3-3-3-3-3",165,"165","Load","Bench Press","[{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":false,""load"":165}]","",RX,
01/24/2023,"CROSSFIT OPEN 22.1","Complete as many rounds as possible in 15 minutes of: • 3 wall walks• 12 dumbbell snatches• 15 box jump-overs♀ 35-lb dumbbell, 20-in box♂ 50-lb dumbbell, 24-in boxFor full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2022/22.1",213,"213","Reps","","[{""reps"":213}]","Deadlifts instead of wall walks",SCALED,
